FIPS,TFPYRM1999,TFPYRM2000,TFPYRM2001,TFPYRM2002,TFPYRM2003,TFPYRM2004,TFPYRM2005,TFPYRM2006,TFPYRM2007,TFPYRM2008,TFPYRM2009,TFPYRM2010,statename,stfips
06041,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06043,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,,06
06045,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06047,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06049,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,,06
06051,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06053,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06055,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06057,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06059,168.41328,176.27739,180.40181,183.26256,188.21036,191.20547,187.99043,191.70467,204.67899,217.03125,213.08215,219.40648,California,06
06061,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06063,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06065,168.41328,176.27739,180.40181,183.26256,188.21036,191.20547,187.99043,191.70467,204.67899,217.03125,213.08215,219.40648,California,06
06067,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06069,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06071,168.41328,176.27739,180.40181,183.26256,188.21036,191.20547,187.99043,191.70467,204.67899,217.03125,213.08215,219.40648,California,06
06073,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06075,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06077,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06079,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06081,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06083,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06085,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06087,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06089,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06091,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06093,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,,06
06095,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06097,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
